BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,2.753030303,0.037114202,-0.000263676,0.005392508,-0.012707663,-0.03693415,-0.020494203,0.002192441,-0.026729612,-0.006829855,0.038581258,0.000438648,-0.195799692,-0.01317021,-0.007660277,0.018509034,-0.006231818,-0.013443827,-0.038048906,-0.023748154,-0.017814537,-0.007161033,-0.000514367,-0.008786562,-0.011792654,-0.058518846,-0.047247724,-0.01770553,-0.003853802,-0.008374282,-0.015734599,3.34477E-05
BR1_main,2.872727273,0.035947332,-0.000230149,-0.002134986,-0.011905436,-0.035577931,-0.020174619,0.002249646,-0.026558704,-0.006481368,0.036597659,0.000417198,-0.185236555,-0.006859603,-0.013712252,0.017064256,-0.00602224,-0.013089174,-0.073978145,-0.023916589,-0.017856086,-0.006848671,-0.006863672,-0.008483164,-0.011691051,-0.05629704,-0.043817334,-0.017258805,-0.00355765,-0.008524094,-0.01541205,3.38057E-05
BR1_main,2.992424242,0.034576515,-0.000210205,-0.008788291,-0.011303511,-0.033724281,-0.019690192,0.002242665,-0.025988097,-0.006190753,0.034797903,0.000398341,-0.175928611,-0.003306675,-0.018207042,0.015830493,-0.005801985,-0.012786017,-0.095132924,-0.024073529,-0.017705758,-0.006571444,-0.012634323,-0.008206754,-0.011511535,-0.054273528,-0.039999707,-0.016525335,-0.003314212,-0.008802641,-0.01521325,3.4066E-05
BR1_main,3.112121212,0.033020156,-0.000210315,-0.014631839,-0.010856793,-0.031869449,-0.018884852,0.00222302,-0.024884299,-0.005964977,0.033094534,0.000383953,-0.167812713,-0.00136584,-0.020723895,0.014838616,-0.005580785,-0.012525773,-0.103619526,-0.024180926,-0.017449536,-0.006329462,-0.017434999,-0.007956468,-0.011543873,-0.052425746,-0.036149358,-0.015620224,-0.003131266,-0.009143772,-0.015082435,3.41666E-05
BR1_main,3.231818182,0.031315184,-0.000225945,-0.019289057,-0.010516964,-0.030209111,-0.01767184,0.002216498,-0.023347436,-0.005810153,0.031441448,0.000375977,-0.160804423,-0.000333268,-0.02138637,0.014067661,-0.005365344,-0.012298071,-0.102978868,-0.024185131,-0.017149989,-0.006121316,-0.020718859,-0.007733988,-0.011905801,-0.050728841,-0.032553896,-0.014695506,-0.003006611,-0.009410969,-0.015010345,3.40241E-05
BR1_main,3.351515152,0.029514277,-0.000250972,-0.022407025,-0.010224287,-0.028821171,-0.016080614,0.002223053,-0.021739292,-0.00572543,0.029849272,0.000375687,-0.154824049,0.000199447,-0.02090544,0.01345842,-0.005160069,-0.012094654,-0.096679317,-0.02402323,-0.016844609,-0.005944743,-0.021880076,-0.007542696,-0.012553929,-0.049157805,-0.029382522,-0.013854045,-0.00293413,-0.009435583,-0.015033886,3.35485E-05
BR1_main,3.471212121,0.027679717,-0.000283235,-0.023953631,-0.00993783,-0.027762153,-0.014296759,0.002237611,-0.020334855,-0.005695662,0.028343377,0.000382087,-0.14981876,0.000461894,-0.020055651,0.012930847,-0.00496771,-0.011910582,-0.087400245,-0.02363857,-0.016553258,-0.005797108,-0.02055489,-0.00739765,-0.013132327,-0.04768915,-0.026699114,-0.013137466,-0.002907023,-0.009127032,-0.015180582,3.26719E-05
BR1_main,3.590909091,0.025874481,-0.000319087,-0.024343676,-0.00967132,-0.027109018,-0.012612719,0.002252695,-0.019193304,-0.005706631,0.026941115,0.000391566,-0.1457773,0.000580812,-0.019280008,0.012414497,-0.004789842,-0.011742265,-0.076857668,-0.023011115,-0.016278281,-0.005675659,-0.017064346,-0.007318758,-0.013176494,-0.046301718,-0.02449663,-0.012551369,-0.002918942,-0.008564841,-0.015414278,3.13896E-05
BR1_main,3.710606061,0.024153087,-0.000347405,-0.024102152,-0.009483735,-0.026968194,-0.011237456,0.002255091,-0.018267594,-0.005783046,0.025648306,0.0004017,-0.142727221,0.000625318,-0.018707441,0.01188296,-0.004626969,-0.011584572,-0.066058386,-0.022183352,-0.016012721,-0.005577365,-0.012412635,-0.007295497,-0.01252677,-0.044974813,-0.022726611,-0.01208559,-0.00296384,-0.007925653,-0.015673515,2.97883E-05
BR1_main,3.83030303,0.022555451,-0.00035333,-0.023507347,-0.009425701,-0.027448678,-0.010219035,0.002235099,-0.01749784,-0.005972971,0.02445968,0.000412167,-0.140700939,0.00063259,-0.018338105,0.011333541,-0.00447811,-0.011428783,-0.055569043,-0.021239247,-0.015749699,-0.005498132,-0.00767994,-0.007291668,-0.011383543,-0.043681988,-0.02131846,-0.011723107,-0.003034937,-0.007329832,-0.015909467,2.80288E-05
BR1_main,3.95,0.02110504,-0.000329238,-0.022596633,-0.009498257,-0.02860854,-0.009524725,0.002191727,-0.016841598,-0.006269607,0.023365855,0.000419861,-0.139717422,0.000622264,-0.018163064,0.010717265,-0.00434157,-0.011265956,-0.045689761,-0.020257806,-0.015487658,-0.005433491,-0.003531243,-0.007284823,-0.010045553,-0.042397141,-0.020197277,-0.011445786,-0.003124308,-0.006833371,-0.016078897,2.62935E-05
