BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,2.633333333,0.040488991,0.000453754,0.054152154,-0.008869649,0.010001079,0.0032788,0.005575134,0.002047876,-0.002797514,0.087257017,0.000711534,-0.167963838,-0.008634688,0.123461431,0.042188,-0.005690729,-0.01019404,0.085567547,-0.017101112,-0.00935015,-0.006223589,0.020854612,-0.006470146,-0.001889964,-0.045658232,-0.020658461,-0.010400741,-0.001963915,-0.00416118,-0.010358304,4.67692E-05
BR1_main,2.753030303,0.039689827,0.000353162,0.047600425,-0.008598484,-0.009048343,0.015144028,0.005192726,-0.000524189,-0.002704868,0.083559076,0.000658863,-0.161038812,-0.00333035,0.096106346,0.037219702,-0.005460819,-0.010082994,0.037440028,-0.017449515,-0.010339301,-0.006032367,0.013569991,-0.006295325,-0.002344333,-0.045656324,-0.021732419,-0.010374563,-0.002063066,-0.004410775,-0.009345469,4.56068E-05
BR1_main,2.872727273,0.038812403,0.000319902,0.038171664,-0.007678057,-0.011265149,0.004917913,0.005231804,-0.005324027,-0.00259818,0.077212618,0.000640214,-0.156888772,-0.000738185,0.074507909,0.030731467,-0.005216941,-0.010180889,-0.015695194,-0.018588053,-0.009519727,-0.005871247,0.007130242,-0.006315334,-0.002746741,-0.044976414,-0.022864924,-0.010473049,-0.002112503,-0.00434337,-0.009101919,4.55472E-05
BR1_main,2.992424242,0.037750637,0.000287114,0.024158663,-0.007263147,-0.009568639,-0.002284156,0.005109661,-0.005510653,-0.002728708,0.068056973,0.000590821,-0.151525727,0.000680667,0.038675403,0.023247546,-0.004980361,-0.010129548,-0.05530602,-0.01882715,-0.010101305,-0.005674099,0.001522462,-0.005851174,-0.003450399,-0.044233006,-0.024482532,-0.010629009,-0.002088782,-0.004696163,-0.009345063,4.8048E-05
BR1_main,3.112121212,0.036381436,0.000254743,0.007157252,-0.007100124,-0.008501979,0.000817666,0.00464306,-0.004562245,-0.002847982,0.064591833,0.000558253,-0.14767224,0.001486656,0.003075268,0.022055452,-0.004761005,-0.009810664,-0.067922981,-0.018663568,-0.010547909,-0.005509645,-0.002958654,-0.005755404,-0.003037114,-0.043824186,-0.023991527,-0.011183818,-0.002039262,-0.00251371,-0.009387243,4.91577E-05
BR1_main,3.231818182,0.034634788,0.000229007,-0.006073228,-0.007293349,-0.008109409,-0.004979983,0.004001702,-0.005313672,-0.003044996,0.054275052,0.000532357,-0.142963324,0.00167197,-0.007100116,0.022444331,-0.004569241,-0.009605955,-0.077559759,-0.018004273,-0.011117973,-0.005378458,-0.003597764,-0.005931346,-0.002441934,-0.043288009,-0.023172372,-0.010582455,-0.001991762,-0.001011574,-0.009162144,5.03075E-05
BR1_main,3.351515152,0.032848686,0.000220242,-0.010156282,-0.007460765,-0.007466363,-0.005480808,0.004246382,-0.007267872,-0.003331238,0.049647901,0.000575976,-0.135934923,0.001709227,-0.00963736,0.021847679,-0.004404732,-0.009663809,-0.072698977,-0.01747693,-0.011138714,-0.005219101,-0.003836047,-0.005879016,-0.002410527,-0.042974965,-0.022543727,-0.010118291,-0.001919319,-0.000590333,-0.008851882,5.15654E-05
BR1_main,3.471212121,0.031383316,0.000246962,-0.014629019,-0.00778988,-0.007578575,-0.003614474,0.004130659,-0.008150334,-0.003569687,0.045539878,0.000641817,-0.127269222,0.001584588,-0.009854495,0.020674999,-0.00423915,-0.009761306,-0.059404851,-0.017065945,-0.011805335,-0.00509983,-0.003734111,-0.005721325,-0.002198545,-0.042798144,-0.021623108,-0.009337549,-0.001853803,-0.001480594,-0.009731086,4.86806E-05
BR1_main,3.590909091,0.029900705,0.000229281,-0.01717358,-0.007902632,-0.008619908,-0.004998759,0.004152097,-0.007420998,-0.003481335,0.042869709,0.000666884,-0.120215158,0.001409277,-0.010251044,0.01965378,-0.004079774,-0.009330949,-0.053922597,-0.01674797,-0.010967169,-0.005031178,-0.002511948,-0.005541774,-0.002237128,-0.042066865,-0.01986551,-0.009222432,-0.001854847,-0.003252599,-0.011442983,4.6245E-05
BR1_main,3.710606061,0.028589303,0.000291321,-0.014359132,-0.007785744,-0.010459934,-0.00332136,0.003936008,-0.007828424,-0.00349421,0.039278695,0.000673987,-0.114909813,0.001242715,-0.009901579,0.019351589,-0.003946748,-0.009336737,-0.047806829,-0.016512771,-0.011178628,-0.004984726,-0.00196172,-0.005654646,-0.002347602,-0.040986909,-0.018763121,-0.009115043,-0.001903843,-0.004268327,-0.012435721,4.32744E-05
BR1_main,3.83030303,0.027198762,0.000375304,-0.013831259,-0.007892357,-0.012228617,-0.003168053,0.003907139,-0.007642491,-0.003475951,0.034603745,0.000710964,-0.110629005,0.001084875,-0.010011699,0.018145975,-0.003875834,-0.009262575,-0.044340351,-0.016098827,-0.009557393,-0.004958139,-0.000249607,-0.005891478,-0.002147451,-0.039477301,-0.017677385,-0.008867321,-0.002086276,-0.004840411,-0.012937711,3.81188E-05
BR1_main,3.95,0.025762923,0.000377212,-0.014125958,-0.007876455,-0.013409543,-0.005269723,0.00421124,-0.007332671,-0.003594548,0.030849999,0.000676204,-0.108863713,0.000984917,-0.010287369,0.018098745,-0.003822438,-0.009201557,-0.037578558,-0.015926466,-0.008626499,-0.004911022,0.00216176,-0.005895909,-0.002124272,-0.038233698,-0.01670705,-0.00898564,-0.002242187,-0.004530948,-0.013506893,3.53691E-05
BR1_main,4.06969697,0.024314975,0.000397732,-0.014565464,-0.007668662,-0.016099527,-0.004754441,0.003914663,-0.007621085,-0.003686975,0.02959625,0.000705175,-0.110358187,0.000935397,-0.010708566,0.017038622,-0.003718865,-0.009178952,-0.028653394,-0.014723329,-0.008819694,-0.004833767,0.005036223,-0.005894861,-0.002256817,-0.036909078,-0.016289986,-0.008954986,-0.002377282,-0.004383322,-0.013456586,3.3395E-05
BR1_main,4.189393939,0.022880715,0.000306294,-0.014871252,-0.007676906,-0.020081374,-0.004250335,0.003872632,-0.00859317,-0.003865484,0.028435773,0.000613469,-0.114168255,0.000955464,-0.01157073,0.01572579,-0.003640906,-0.009126248,-0.021297557,-0.013955777,-0.009950914,-0.004753934,0.007898005,-0.006125124,-0.001962112,-0.035284469,-0.015668337,-0.009121149,-0.002513182,-0.004101905,-0.013467228,3.06625E-05
BR1_main,4.309090909,0.021464998,0.000209422,-0.013344047,-0.00789612,-0.021230375,-0.004443403,0.003742765,-0.008337727,-0.004151366,0.027934177,0.000623363,-0.118941755,0.000984537,-0.012846696,0.013066418,-0.00358049,-0.008755781,-0.015372526,-0.013680199,-0.010013746,-0.004739323,0.010109455,-0.006051598,-0.001541377,-0.033956687,-0.01515041,-0.009138684,-0.002775684,-0.004059385,-0.013171644,2.87803E-05
BR1_main,4.428787879,0.020015911,0.000151886,-0.011816006,-0.008305204,-0.022042564,-0.004592239,0.003328298,-0.007941023,-0.004198031,0.026831881,0.00053937,-0.124917044,0.000993008,-0.013421721,0.01010456,-0.003489358,-0.008651522,-0.010748614,-0.013542018,-0.009875187,-0.004714452,0.011552757,-0.005987992,-0.001214724,-0.03289521,-0.014905527,-0.008810524,-0.002859544,-0.004158845,-0.01294579,2.6955E-05
BR1_main,4.548484848,0.0195776,0.000138107,-0.009416993,-0.008173243,-0.021834497,-0.004842997,0.003044733,-0.007370558,-0.004176807,0.026337484,0.000509994,-0.131475862,0.000990126,-0.012680281,0.008021408,-0.003415364,-0.008474172,-0.007305559,-0.013582046,-0.01041087,-0.004667958,0.012292923,-0.005901133,-0.001044915,-0.031892395,-0.014556157,-0.008731748,-0.00279052,-0.00442467,-0.013033435,2.56142E-05
