BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,2.513636364,0.036729711,-0.001832588,-0.000772834,-0.017699153,-0.114761449,-0.066309382,-0.001339406,-0.071061905,-0.01279753,0.013703816,0.000119854,-0.259056933,-0.086621505,-0.053495594,0.013404344,-0.007270337,-0.021037717,-0.076426059,-0.029128524,-0.02877647,-0.009626716,-0.002222748,-0.012287296,-0.033608071,-0.085338549,-0.092157616,-0.024519466,-0.006934978,-0.015023703,-0.026949446,1.92008E-05
BR1_main,2.633333333,0.035408451,-0.001840562,-0.014440303,-0.016294257,-0.092140381,-0.062977156,-0.00095309,-0.072391596,-0.012182992,0.006569405,0.000186462,-0.242106107,-0.057123659,-0.052709147,0.007762085,-0.007077475,-0.019537992,-0.129546235,-0.028527108,-0.033257226,-0.008986556,-0.006904865,-0.011578811,-0.038909464,-0.079101616,-0.090206317,-0.02566508,-0.006390626,-0.013302656,-0.021762474,2.1387E-05
BR1_main,2.753030303,0.034444109,-0.00175157,-0.023177512,-0.014995774,-0.071794547,-0.060045451,-0.000945761,-0.069338822,-0.01158808,0.013598921,0.00023117,-0.225496926,-0.033994993,-0.047054516,0.006441937,-0.006871097,-0.018586972,-0.147776737,-0.028741443,-0.034715652,-0.008380748,-0.014089537,-0.011283387,-0.03983821,-0.073178133,-0.082977352,-0.024626439,-0.005521562,-0.013308999,-0.020801826,2.33211E-05
BR1_main,2.872727273,0.032384148,-0.001391956,-0.027420247,-0.014283662,-0.058064784,-0.056254546,-0.000224818,-0.073782673,-0.011062167,0.011226524,0.000222886,-0.210402519,-0.01893044,-0.049169717,0.007666536,-0.006616312,-0.017502267,-0.164328988,-0.028789786,-0.031462869,-0.007873975,-0.022201982,-0.01080922,-0.037023624,-0.068573339,-0.071246829,-0.024005349,-0.004914327,-0.017106158,-0.020194532,2.43804E-05
BR1_main,2.992424242,0.029969965,-0.001192617,-0.029409512,-0.014075053,-0.055181764,-0.044972501,0.000199344,-0.066079239,-0.010433849,0.010782918,0.00021451,-0.196943168,-0.010667083,-0.048037769,0.00890416,-0.006386441,-0.016557761,-0.155980896,-0.028639794,-0.03139359,-0.007450187,-0.030711994,-0.010012386,-0.028342637,-0.064331785,-0.060053767,-0.024122461,-0.004459946,-0.019904397,-0.019761746,2.58225E-05
BR1_main,3.112121212,0.027493096,-0.001191016,-0.030454013,-0.013901438,-0.053028421,-0.037130479,0.000328888,-0.057753623,-0.009696422,0.012983621,0.000216154,-0.187745903,-0.006107978,-0.044584578,0.007962027,-0.006164432,-0.015683728,-0.144996311,-0.029006969,-0.029857751,-0.007179479,-0.03627191,-0.009582722,-0.028322254,-0.060063398,-0.051953897,-0.021584011,-0.004253957,-0.018117978,-0.019110808,2.62242E-05
BR1_main,3.231818182,0.025252233,-0.001179192,-0.030988945,-0.013959075,-0.051088874,-0.032807965,0.000520827,-0.049097897,-0.009809954,0.015609732,0.000215796,-0.183833037,-0.003696241,-0.038988327,0.007980494,-0.005928571,-0.015038335,-0.130736171,-0.029665029,-0.028342565,-0.006904204,-0.040917613,-0.009247835,-0.028006487,-0.057172647,-0.044302258,-0.020391411,-0.004147387,-0.017421464,-0.019325633,2.5799E-05
BR1_main,3.351515152,0.023381203,-0.001040539,-0.033325403,-0.013686965,-0.049019006,-0.030313066,0.000444598,-0.045367546,-0.009748194,0.01658291,0.000209102,-0.181972044,-0.002130808,-0.035823369,0.007190169,-0.005686775,-0.01476281,-0.119766362,-0.030033433,-0.024462319,-0.006640819,-0.046593589,-0.008966794,-0.031120519,-0.054660302,-0.03886768,-0.019466387,-0.004017465,-0.017880267,-0.019442294,2.4914E-05
BR1_main,3.471212121,0.021837063,-0.001022825,-0.036283381,-0.012931209,-0.047005467,-0.028213971,0.000452725,-0.040535505,-0.009294742,0.014654699,0.000216745,-0.17964701,-0.001186329,-0.033908172,0.006751327,-0.005459023,-0.014413407,-0.108729304,-0.029953574,-0.022701402,-0.006451997,-0.044870878,-0.008902538,-0.036084666,-0.052535779,-0.034881673,-0.01784479,-0.003920545,-0.017787702,-0.018807168,2.40309E-05
BR1_main,3.590909091,0.020575109,-0.001205851,-0.035018362,-0.012021191,-0.04586918,-0.023113431,0.000563108,-0.034461526,-0.008864941,0.014077247,0.000222548,-0.174856717,-0.000492928,-0.032669193,0.007480001,-0.005245831,-0.014019993,-0.095035578,-0.029496961,-0.022178699,-0.006374887,-0.032701247,-0.008905152,-0.03489122,-0.051061832,-0.030301304,-0.016341749,-0.003880493,-0.015117268,-0.019424583,2.31453E-05
